 Log10[q2](GeV^2)   Log10[r2](GeV^2)   theta          G1Gluon          G1Ghost          G1Quark          G1Sword
-4.0000000E+0    -4.0000000E+0     1.0000000E-2     7.6202087E-3    -4.5325589E-1     4.1185702E-1    -8.6080648E-1
-4.0000000E+0    -4.0000000E+0     1.6534698E-1     7.6489674E-3    -4.5350859E-1     4.1182597E-1    -8.6080691E-1
-4.0000000E+0    -4.0000000E+0     3.3069396E-1     7.6671928E-3    -4.5424797E-1     4.1180784E-1    -8.6080820E-1
-4.0000000E+0    -4.0000000E+0     4.9604095E-1     7.6707174E-3    -4.5547163E-1     4.1180784E-1    -8.6081008E-1
-4.0000000E+0    -4.0000000E+0     6.6138793E-1     7.6649467E-3    -4.5712490E-1     4.1180869E-1    -8.6081213E-1
-4.0000000E+0    -4.0000000E+0     8.2673491E-1     7.6586443E-3    -4.5921491E-1     4.1181472E-1    -8.6081377E-1
-4.0000000E+0    -4.0000000E+0     9.9208189E-1     7.6648947E-3    -4.6174176E-1     4.1182911E-1    -8.6081430E-1
-4.0000000E+0    -4.0000000E+0     1.1574289E+0     7.6783094E-3    -4.6502508E-1     4.1183886E-1    -8.6081354E-1
-4.0000000E+0    -4.0000000E+0     1.3227759E+0     7.6623549E-3    -4.6878522E-1     4.1184476E-1    -8.6081380E-1
-4.0000000E+0    -4.0000000E+0     1.4881228E+0     7.6826144E-3    -4.7251827E-1     4.1184810E-1    -8.6081642E-1
-4.0000000E+0    -4.0000000E+0     1.6534698E+0     7.7155986E-3    -4.7706162E-1     4.1185979E-1    -8.6081859E-1
-4.0000000E+0    -4.0000000E+0     1.8188168E+0     7.7715037E-3    -4.8281909E-1     4.1187033E-1    -8.6081628E-1
-4.0000000E+0    -4.0000000E+0     1.9841638E+0     7.8040330E-3    -4.8761616E-1     4.1187827E-1    -8.6082071E-1
-4.0000000E+0    -4.0000000E+0     2.1495108E+0     7.5942149E-3    -4.9325685E-1     4.1187079E-1    -8.6082917E-1
-4.0000000E+0    -4.0000000E+0     2.3148577E+0     7.5784612E-3    -5.0096174E-1     4.1192453E-1    -8.6083120E-1
-4.0000000E+0    -4.0000000E+0     2.4802047E+0     7.7396046E-3    -5.0902228E-1     4.1195316E-1    -8.6082986E-1
-4.0000000E+0    -4.0000000E+0     2.6455517E+0     7.7207505E-3    -5.1388781E-1     4.1189294E-1    -8.6082912E-1
-4.0000000E+0    -4.0000000E+0     2.8108987E+0     7.0855041E-3    -5.1857248E-1     4.1188406E-1    -8.6082831E-1
-4.0000000E+0    -4.0000000E+0     2.9762457E+0     6.2718387E-3    -5.2682241E-1     4.1193187E-1    -8.6082694E-1
-4.0000000E+0    -3.7586207E+0     1.0000000E-2     7.7056765E-3    -4.3509042E-1     4.1177837E-1    -8.6079324E-1
-4.0000000E+0    -3.7586207E+0     1.6534698E-1     7.7055337E-3    -4.3532162E-1     4.1177768E-1    -8.6079345E-1
-4.0000000E+0    -3.7586207E+0     3.3069396E-1     7.7037673E-3    -4.3602861E-1     4.1177747E-1    -8.6079408E-1
-4.0000000E+0    -3.7586207E+0     4.9604095E-1     7.6997278E-3    -4.3720927E-1     4.1177967E-1    -8.6079510E-1
-4.0000000E+0    -3.7586207E+0     6.6138793E-1     7.6941037E-3    -4.3883926E-1     4.1178352E-1    -8.6079645E-1
-4.0000000E+0    -3.7586207E+0     8.2673491E-1     7.6895763E-3    -4.4095157E-1     4.1178956E-1    -8.6079807E-1
-4.0000000E+0    -3.7586207E+0     9.9208189E-1     7.6897817E-3    -4.4352749E-1     4.1179754E-1    -8.6079985E-1
-4.0000000E+0    -3.7586207E+0     1.1574289E+0     7.6873076E-3    -4.4658835E-1     4.1180535E-1    -8.6080171E-1
-4.0000000E+0    -3.7586207E+0     1.3227759E+0     7.6803437E-3    -4.5012515E-1     4.1181282E-1    -8.6080377E-1
-4.0000000E+0    -3.7586207E+0     1.4881228E+0     7.6757293E-3    -4.5405693E-1     4.1182031E-1    -8.6080613E-1
-4.0000000E+0    -3.7586207E+0     1.6534698E+0     7.6740689E-3    -4.5846087E-1     4.1182903E-1    -8.6080850E-1
-4.0000000E+0    -3.7586207E+0     1.8188168E+0     7.6654329E-3    -4.6335018E-1     4.1183760E-1    -8.6081055E-1
-4.0000000E+0    -3.7586207E+0     1.9841638E+0     7.6685725E-3    -4.6845269E-1     4.1184676E-1    -8.6081327E-1
-4.0000000E+0    -3.7586207E+0     2.1495108E+0     7.6495641E-3    -4.7390770E-1     4.1185197E-1    -8.6081635E-1
-4.0000000E+0    -3.7586207E+0     2.3148577E+0     7.6370095E-3    -4.7979724E-1     4.1186297E-1    -8.6081892E-1
-4.0000000E+0    -3.7586207E+0     2.4802047E+0     7.6369556E-3    -4.8604595E-1     4.1187423E-1    -8.6082109E-1
-4.0000000E+0    -3.7586207E+0     2.6455517E+0     7.6259580E-3    -4.9208329E-1     4.1187960E-1    -8.6082291E-1
-4.0000000E+0    -3.7586207E+0     2.8108987E+0     7.5819452E-3    -4.9779817E-1     4.1188653E-1    -8.6082416E-1
-4.0000000E+0    -3.7586207E+0     2.9762457E+0     7.4923825E-3    -5.0286327E-1     4.1189202E-1    -8.6082468E-1
-4.0000000E+0    -3.5172414E+0     1.0000000E-2     7.7534725E-3    -4.1396854E-1     4.1171549E-1    -8.6077493E-1
-4.0000000E+0    -3.5172414E+0     1.6534698E-1     7.7499689E-3    -4.1418209E-1     4.1171674E-1    -8.6077518E-1
-4.0000000E+0    -3.5172414E+0     3.3069396E-1     7.7458764E-3    -4.1484169E-1     4.1171882E-1    -8.6077593E-1
-4.0000000E+0    -3.5172414E+0     4.9604095E-1     7.7415340E-3    -4.1594550E-1     4.1172224E-1    -8.6077716E-1
-4.0000000E+0    -3.5172414E+0     6.6138793E-1     7.7369318E-3    -4.1748345E-1     4.1172730E-1    -8.6077884E-1
-4.0000000E+0    -3.5172414E+0     8.2673491E-1     7.7320285E-3    -4.1945424E-1     4.1173403E-1    -8.6078092E-1
-4.0000000E+0    -3.5172414E+0     9.9208189E-1     7.7274434E-3    -4.2186195E-1     4.1174206E-1    -8.6078333E-1
-4.0000000E+0    -3.5172414E+0     1.1574289E+0     7.7212358E-3    -4.2468312E-1     4.1175112E-1    -8.6078600E-1
-4.0000000E+0    -3.5172414E+0     1.3227759E+0     7.7143867E-3    -4.2791881E-1     4.1176052E-1    -8.6078887E-1
-4.0000000E+0    -3.5172414E+0     1.4881228E+0     7.7066540E-3    -4.3155871E-1     4.1177031E-1    -8.6079185E-1
-4.0000000E+0    -3.5172414E+0     1.6534698E+0     7.6989184E-3    -4.3556358E-1     4.1178060E-1    -8.6079491E-1
-4.0000000E+0    -3.5172414E+0     1.8188168E+0     7.6867268E-3    -4.3987544E-1     4.1179132E-1    -8.6079791E-1
-4.0000000E+0    -3.5172414E+0     1.9841638E+0     7.6789181E-3    -4.4447651E-1     4.1180178E-1    -8.6080079E-1
-4.0000000E+0    -3.5172414E+0     2.1495108E+0     7.6805455E-3    -4.4925433E-1     4.1181145E-1    -8.6080350E-1
-4.0000000E+0    -3.5172414E+0     2.3148577E+0     7.6742037E-3    -4.5405001E-1     4.1181924E-1    -8.6080622E-1
-4.0000000E+0    -3.5172414E+0     2.4802047E+0     7.6607493E-3    -4.5880018E-1     4.1182716E-1    -8.6080874E-1
-4.0000000E+0    -3.5172414E+0     2.6455517E+0     7.6502256E-3    -4.6336039E-1     4.1183650E-1    -8.6081097E-1
-4.0000000E+0    -3.5172414E+0     2.8108987E+0     7.6639774E-3    -4.6735436E-1     4.1184225E-1    -8.6081273E-1
-4.0000000E+0    -3.5172414E+0     2.9762457E+0     7.6977350E-3    -4.7018257E-1     4.1184698E-1    -8.6081385E-1
-4.0000000E+0    -3.2758621E+0     1.0000000E-2     7.8157012E-3    -3.9026733E-1     4.1162088E-1    -8.6074417E-1
-4.0000000E+0    -3.2758621E+0     1.6534698E-1     7.8148452E-3    -3.9045977E-1     4.1162089E-1    -8.6074453E-1
-4.0000000E+0    -3.2758621E+0     3.3069396E-1     7.8126051E-3    -3.9105394E-1     4.1162327E-1    -8.6074560E-1
-4.0000000E+0    -3.2758621E+0     4.9604095E-1     7.8090466E-3    -3.9204717E-1     4.1162803E-1    -8.6074734E-1
-4.0000000E+0    -3.2758621E+0     6.6138793E-1     7.8042942E-3    -3.9343114E-1     4.1163452E-1    -8.6074970E-1
-4.0000000E+0    -3.2758621E+0     8.2673491E-1     7.7981815E-3    -3.9519046E-1     4.1164292E-1    -8.6075261E-1
-4.0000000E+0    -3.2758621E+0     9.9208189E-1     7.7907507E-3    -3.9732103E-1     4.1165284E-1    -8.6075597E-1
-4.0000000E+0    -3.2758621E+0     1.1574289E+0     7.7828343E-3    -3.9982052E-1     4.1166398E-1    -8.6075965E-1
-4.0000000E+0    -3.2758621E+0     1.3227759E+0     7.7735895E-3    -4.0266732E-1     4.1167605E-1    -8.6076357E-1
-4.0000000E+0    -3.2758621E+0     1.4881228E+0     7.7642805E-3    -4.0582922E-1     4.1168857E-1    -8.6076759E-1
-4.0000000E+0    -3.2758621E+0     1.6534698E+0     7.7550702E-3    -4.0927585E-1     4.1170136E-1    -8.6077153E-1
-4.0000000E+0    -3.2758621E+0     1.8188168E+0     7.7469772E-3    -4.1296016E-1     4.1171400E-1    -8.6077537E-1
-4.0000000E+0    -3.2758621E+0     1.9841638E+0     7.7371222E-3    -4.1679198E-1     4.1172715E-1    -8.6077920E-1
-4.0000000E+0    -3.2758621E+0     2.1495108E+0     7.7271488E-3    -4.2069948E-1     4.1173948E-1    -8.6078283E-1
-4.0000000E+0    -3.2758621E+0     2.3148577E+0     7.7216841E-3    -4.2455133E-1     4.1175116E-1    -8.6078593E-1
-4.0000000E+0    -3.2758621E+0     2.4802047E+0     7.7164890E-3    -4.2816627E-1     4.1176083E-1    -8.6078862E-1
-4.0000000E+0    -3.2758621E+0     2.6455517E+0     7.7082106E-3    -4.3130639E-1     4.1176745E-1    -8.6079094E-1
-4.0000000E+0    -3.2758621E+0     2.8108987E+0     7.6974637E-3    -4.3381987E-1     4.1177292E-1    -8.6079270E-1
-4.0000000E+0    -3.2758621E+0     2.9762457E+0     7.6986495E-3    -4.3546890E-1     4.1177897E-1    -8.6079379E-1
-4.0000000E+0    -3.0344828E+0     1.0000000E-2     7.9278135E-3    -3.6434171E-1     4.1146925E-1    -8.6069184E-1
-4.0000000E+0    -3.0344828E+0     1.6534698E-1     7.9271338E-3    -3.6450790E-1     4.1146962E-1    -8.6069230E-1
