 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta            G1              G2               G3               G4
-4.0000000E+0    -4.0000000E+0     1.0000000E-2     7.8455582E-2     2.8473745E-2     1.6834874E-2    -6.4113071E-3
-4.0000000E+0    -4.0000000E+0     1.6611819E-1     7.6414544E-2     2.8232916E-2     1.6750536E-2    -6.3570102E-3
-4.0000000E+0    -4.0000000E+0     3.2223639E-1     7.2413179E-2     2.8035667E-2     1.6671604E-2    -6.2862549E-3
-4.0000000E+0    -4.0000000E+0     4.7835458E-1     6.7669907E-2     6.9406176E-2     1.6563255E-2    -6.2068543E-3
-4.0000000E+0    -4.0000000E+0     6.3447277E-1     6.5242821E-2    -1.3853142E-1     1.6444859E-2    -6.1786484E-3
-4.0000000E+0    -4.0000000E+0     7.9059097E-1     6.1928191E-2     1.6442948E+0     1.6284416E-2    -5.9849193E-3
-4.0000000E+0    -4.0000000E+0     9.4670916E-1     6.8628633E-2     3.3116664E-1     1.6173642E-2    -5.9589742E-3
-4.0000000E+0    -4.0000000E+0     1.1028274E+0     9.5777828E-2    -7.1813584E-1     1.5936582E-2    -5.8700339E-3
-4.0000000E+0    -4.0000000E+0     1.2589455E+0     8.8916670E-2     2.9969029E-2     1.5530941E-2    -5.4756374E-3
-4.0000000E+0    -4.0000000E+0     1.4150637E+0     6.4926544E-2     5.5160822E-2     1.5385501E-2    -5.3783096E-3
-4.0000000E+0    -4.0000000E+0     1.5711819E+0     6.3237969E-2    -1.8201122E-1     1.5334670E-2    -6.0114580E-3
-4.0000000E+0    -4.0000000E+0     1.7273001E+0     6.5051919E-2    -5.6896531E-2     1.4833025E-2    -4.7613204E-3
-4.0000000E+0    -4.0000000E+0     1.8834183E+0     6.5652844E-2    -3.1878794E-2     1.4467470E-2    -4.3791556E-3
-4.0000000E+0    -4.0000000E+0     2.0395365E+0     8.3539866E-2    -8.2556459E-3     1.4580485E-2    -5.8928280E-3
-4.0000000E+0    -4.0000000E+0     2.1956547E+0     5.8715322E-2    -1.0795124E-2     1.4105460E-2    -4.4628219E-3
-4.0000000E+0    -4.0000000E+0     2.3517729E+0     1.1723690E-3     1.6669313E-2     1.2768807E-2    -1.3692841E-3
-4.0000000E+0    -4.0000000E+0     2.5078911E+0     5.6894607E-2    -6.2763516E-2     1.2029635E-2     3.7664463E-3
-4.0000000E+0    -4.0000000E+0     2.6640093E+0     1.0826145E-1    -9.0890760E-1     1.2522762E-2     1.0225271E-2
