 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta        G2Gluon          G2Ghost           G2Quark          G2Sword
-4.0000000E+0    -4.0000000E+0     1.0000000E-2    -2.1010304E-2     4.9528667E-3     3.9201707E-4     7.8033107E-6
-4.0000000E+0    -4.0000000E+0     1.6534698E-1    -2.1283190E-2     4.8218111E-3     3.9240384E-4     7.5914462E-6
-4.0000000E+0    -4.0000000E+0     3.3069396E-1    -2.2104531E-2     4.6706182E-3     4.2429709E-5     6.9404636E-6
-4.0000000E+0    -4.0000000E+0     4.9604095E-1    -2.3852264E-2     4.2725897E-3     5.0999376E-5     5.9648939E-6
-4.0000000E+0    -4.0000000E+0     6.6138793E-1    -2.9439016E-2     4.0870075E-3     5.5071756E-6     4.8692494E-6
-4.0000000E+0    -4.0000000E+0     8.2673491E-1    -2.0627931E+0     4.1313699E-3     1.2700084E-5     4.0293519E-6
-4.0000000E+0    -4.0000000E+0     9.9208189E-1     4.3045367E-1     4.0140129E-3     1.2065167E-5     4.1536731E-6
-4.0000000E+0    -4.0000000E+0     1.1574289E+0    -1.6366586E-1     3.8308942E-3     1.4431481E-5     6.1276529E-6
-4.0000000E+0    -4.0000000E+0     1.3227759E+0    -6.3024053E-2     3.9526563E-3     4.2237454E-6     8.4680761E-6
-4.0000000E+0    -4.0000000E+0     1.4881228E+0     6.7228611E-2     3.8811318E-3     7.3544949E-6     8.5509336E-6
-4.0000000E+0    -4.0000000E+0     1.6534698E+0     7.3703862E-2     3.7018466E-3    -4.8875003E-6     4.3908935E-6
-4.0000000E+0    -4.0000000E+0     1.8188168E+0     5.6393963E-2     4.0872017E-3    -8.8515496E-6    -1.2579709E-6
-4.0000000E+0    -4.0000000E+0     1.9841638E+0     4.5213783E-2     3.3796184E-3    -1.3357735E-7     2.5948025E-6
-4.0000000E+0    -4.0000000E+0     2.1495108E+0     3.2273895E-2     3.4185133E-3     6.0220203E-6     5.2653872E-6
-4.0000000E+0    -4.0000000E+0     2.3148577E+0     2.6758777E-2     3.4503086E-3    -4.7962741E-6     3.9921851E-6
-4.0000000E+0    -4.0000000E+0     2.4802047E+0     2.1593073E-2     4.5935656E-3    -2.9735468E-7     2.1402261E-6
-4.0000000E+0    -4.0000000E+0     2.6455517E+0     6.3815578E-1     6.6896804E-3     1.2648858E-5     5.0998374E-7
-4.0000000E+0    -4.0000000E+0     2.8108987E+0     1.5247253E+0     1.2768657E-2     5.6407378E-5    -2.0246289E-6
-4.0000000E+0    -4.0000000E+0     2.9762457E+0     2.1634220E-1     2.9655277E-2     1.4516470E-4    -6.1994797E-6
-4.0000000E+0    -3.7586207E+0     1.0000000E-2    -1.3628422E-2     5.0551302E-3     4.1681886E-5     1.0857969E-5
-4.0000000E+0    -3.7586207E+0     1.6534698E-1    -1.3797491E-2     4.9257474E-3     4.2357165E-5     1.0797891E-5
-4.0000000E+0    -3.7586207E+0     3.3069396E-1    -1.4302372E-2     4.7928872E-3     1.3007672E-5     1.0616689E-5
-4.0000000E+0    -3.7586207E+0     4.9604095E-1    -1.5391493E-2     4.5468000E-3     1.2943141E-5     1.0325011E-5
-4.0000000E+0    -3.7586207E+0     6.6138793E-1    -1.8937273E-2     4.3196719E-3     1.0961027E-5     9.9415949E-6
-4.0000000E+0    -3.7586207E+0     8.2673491E-1    -1.4059256E+0     4.2024232E-3     1.1361784E-5     9.5001232E-6
-4.0000000E+0    -3.7586207E+0     9.9208189E-1     2.9206063E-1     4.1607980E-3     1.0050159E-5     9.0627996E-6
