 Log10[q2](GeV^2)   Log10[r2](GeV^2)    theta         G3Gluon          G3Ghost           G3Quark          G3Sword
-4.0000000E+0    -4.0000000E+0     1.0000000E-2    -6.3193819E-5     1.6785747E-2     1.0246087E-4     9.8599238E-6
-4.0000000E+0    -4.0000000E+0     1.6534698E-1    -3.6320294E-5     1.6751520E-2     2.5958669E-5     9.7393236E-6
-4.0000000E+0    -4.0000000E+0     3.3069396E-1    -1.7805441E-5     1.6675335E-2    -4.0676278E-7     9.3775231E-6
-4.0000000E+0    -4.0000000E+0     4.9604095E-1    -1.3817187E-5     1.6553020E-2     2.3600244E-6     8.8398264E-6
-4.0000000E+0    -4.0000000E+0     6.6138793E-1    -1.6535821E-5     1.6429543E-2    -1.3770651E-6     8.2315454E-6
-4.0000000E+0    -4.0000000E+0     8.2673491E-1    -1.8401560E-5     1.6263924E-2    -3.8698446E-7     7.7079801E-6
-4.0000000E+0    -4.0000000E+0     9.9208189E-1    -1.2039028E-5     1.6128666E-2     5.5009392E-6     7.4739641E-6
-4.0000000E+0    -4.0000000E+0     1.1574289E+0    -4.4793091E-7     1.5784780E-2     1.0324387E-5     7.6185460E-6
-4.0000000E+0    -4.0000000E+0     1.3227759E+0    -6.0323111E-6     1.5406377E-2     6.9739947E-6     7.4996732E-6
-4.0000000E+0    -4.0000000E+0     1.4881228E+0     1.6173161E-5     1.5367718E-2     5.3430103E-6     6.6668079E-6
-4.0000000E+0    -4.0000000E+0     1.6534698E+0     3.4940917E-5     1.5089415E-2     5.4616153E-6     5.9513699E-6
-4.0000000E+0    -4.0000000E+0     1.8188168E+0     6.7221044E-5     1.4434563E-2     6.7504682E-6     6.9017530E-6
-4.0000000E+0    -4.0000000E+0     1.9841638E+0     9.6308308E-5     1.4445435E-2     8.2202582E-6     5.3061305E-6
-4.0000000E+0    -4.0000000E+0     2.1495108E+0    -2.1934763E-5     1.4380641E-2     2.6382828E-7     1.3421677E-6
-4.0000000E+0    -4.0000000E+0     2.3148577E+0    -3.2032867E-5     1.3119975E-2     2.8066491E-5    -4.9776573E-7
-4.0000000E+0    -4.0000000E+0     2.4802047E+0     1.0522636E-4     1.1850091E-2     5.3741935E-5    -1.4335338E-6
-4.0000000E+0    -4.0000000E+0     2.6455517E+0     2.5993590E-5     1.2481862E-2     1.7714465E-5    -4.7800049E-6
-4.0000000E+0    -4.0000000E+0     2.8108987E+0    -6.8097411E-4     9.9352902E-3     7.0788837E-5    -1.3174517E-5
-4.0000000E+0    -4.0000000E+0     2.9762457E+0    -1.8631339E-3    -7.5224140E-3     2.3134736E-4    -2.8561515E-5
-4.0000000E+0    -3.7586207E+0     1.0000000E-2    -1.6722218E-5     1.6978459E-2     3.2087705E-5     1.4533684E-5
-4.0000000E+0    -3.7586207E+0     1.6534698E-1    -1.5598690E-5     1.6959352E-2     2.3914660E-5     1.4464624E-5
-4.0000000E+0    -3.7586207E+0     3.3069396E-1    -1.5395198E-5     1.6896513E-2     2.1188058E-5     1.4258176E-5
-4.0000000E+0    -3.7586207E+0     4.9604095E-1    -1.6670262E-5     1.6789072E-2     2.0244279E-5     1.3923642E-5
-4.0000000E+0    -3.7586207E+0     6.6138793E-1    -1.8676542E-5     1.6661851E-2     1.9078204E-5     1.3476064E-5
-4.0000000E+0    -3.7586207E+0     8.2673491E-1    -1.8747005E-5     1.6485942E-2     1.8937161E-5     1.2937539E-5
-4.0000000E+0    -3.7586207E+0     9.9208189E-1    -1.4404392E-5     1.6289026E-2     1.9202215E-5     1.2337758E-5
-4.0000000E+0    -3.7586207E+0     1.1574289E+0    -1.1082598E-5     1.6059170E-2     1.8767855E-5     1.1704320E-5
-4.0000000E+0    -3.7586207E+0     1.3227759E+0    -1.2234552E-5     1.5799257E-2     1.7030004E-5     1.1012381E-5
-4.0000000E+0    -3.7586207E+0     1.4881228E+0    -1.0773621E-5     1.5576577E-2     1.5404791E-5     1.0227095E-5
-4.0000000E+0    -3.7586207E+0     1.6534698E+0    -8.3718174E-6     1.5336758E-2     1.4138894E-5     9.4381329E-6
-4.0000000E+0    -3.7586207E+0     1.8188168E+0    -7.8297963E-6     1.5082164E-2     1.3253643E-5     8.7681185E-6
-4.0000000E+0    -3.7586207E+0     1.9841638E+0    -1.2937792E-6     1.4943830E-2     1.2475565E-5     7.8217600E-6
-4.0000000E+0    -3.7586207E+0     2.1495108E+0    -1.0155278E-5     1.4859358E-2     9.2360212E-6     6.5978244E-6
-4.0000000E+0    -3.7586207E+0     2.3148577E+0    -1.4907015E-5     1.4688502E-2     1.0054413E-5     5.3618974E-6
-4.0000000E+0    -3.7586207E+0     2.4802047E+0    -1.1723411E-5     1.4371079E-2     1.3351893E-5     3.8826264E-6
-4.0000000E+0    -3.7586207E+0     2.6455517E+0    -3.1185057E-5     1.3902493E-2     1.5394082E-5     1.7004073E-6
-4.0000000E+0    -3.7586207E+0     2.8108987E+0    -8.9997677E-5     1.2277828E-2     3.2867654E-5    -1.7042820E-6
-4.0000000E+0    -3.7586207E+0     2.9762457E+0    -2.3072756E-4     7.6635308E-3     5.8176016E-5    -6.3328770E-6
-4.0000000E+0    -3.5172414E+0     1.0000000E-2    -1.8082796E-5     1.7319280E-2     3.6445197E-5     2.0644123E-5
-4.0000000E+0    -3.5172414E+0     1.6534698E-1    -2.0023777E-5     1.7305148E-2     3.5429013E-5     2.0559688E-5
-4.0000000E+0    -3.5172414E+0     3.3069396E-1    -2.1550211E-5     1.7251765E-2     3.5036391E-5     2.0308123E-5
-4.0000000E+0    -3.5172414E+0     4.9604095E-1    -2.2300500E-5     1.7159122E-2     3.3871646E-5     1.9896036E-5
-4.0000000E+0    -3.5172414E+0     6.6138793E-1    -2.2324411E-5     1.7037733E-2     3.2611372E-5     1.9334430E-5
-4.0000000E+0    -3.5172414E+0     8.2673491E-1    -2.1818946E-5     1.6890281E-2     3.1330937E-5     1.8639290E-5
-4.0000000E+0    -3.5172414E+0     9.9208189E-1    -2.0178914E-5     1.6712160E-2     3.0072950E-5     1.7832174E-5
-4.0000000E+0    -3.5172414E+0     1.1574289E+0    -1.7950900E-5     1.6523269E-2     2.8565728E-5     1.6938016E-5
-4.0000000E+0    -3.5172414E+0     1.3227759E+0    -1.7782362E-5     1.6323189E-2     2.6775894E-5     1.5976753E-5
-4.0000000E+0    -3.5172414E+0     1.4881228E+0    -1.7551303E-5     1.6116038E-2     2.4667971E-5     1.4980762E-5
-4.0000000E+0    -3.5172414E+0     1.6534698E+0    -1.6694005E-5     1.5922946E-2     2.2712187E-5     1.3962858E-5
-4.0000000E+0    -3.5172414E+0     1.8188168E+0    -1.7919588E-5     1.5767356E-2     2.0857861E-5     1.2962698E-5
-4.0000000E+0    -3.5172414E+0     1.9841638E+0    -1.7573064E-5     1.5644109E-2     1.9235229E-5     1.2010101E-5
-4.0000000E+0    -3.5172414E+0     2.1495108E+0    -1.3028890E-5     1.5587581E-2     1.7370362E-5     1.1115508E-5
-4.0000000E+0    -3.5172414E+0     2.3148577E+0    -1.2425106E-5     1.5630733E-2     1.4942250E-5     1.0157909E-5
-4.0000000E+0    -3.5172414E+0     2.4802047E+0    -1.8095894E-5     1.5694128E-2     1.3302858E-5     9.1446604E-6
-4.0000000E+0    -3.5172414E+0     2.6455517E+0    -2.4012013E-5     1.5644684E-2     1.4089992E-5     8.0122544E-6
-4.0000000E+0    -3.5172414E+0     2.8108987E+0    -7.7151499E-6     1.5373852E-2     1.4460551E-5     6.8007623E-6
-4.0000000E+0    -3.5172414E+0     2.9762457E+0     3.3269960E-5     1.4964164E-2     1.5540805E-5     5.7534779E-6
-4.0000000E+0    -3.2758621E+0     1.0000000E-2    -3.4274594E-5     1.7728290E-2     5.6995638E-5     3.0779520E-5
