 Log10[q2](GeV^2) Log10[r2](GeV^2)    theta            G4Gluon         G4Ghost           GQuark          G4Sword
-4.0000000E+0    -4.0000000E+0     1.0000000E-2     1.0273039E-4    -6.3935404E-3    -1.2158608E-4     1.0889811E-6
-4.0000000E+0    -4.0000000E+0     1.6534698E-1     3.9441518E-5    -6.3612036E-3    -3.6305792E-5     7.6520915E-7
-4.0000000E+0    -4.0000000E+0     3.3069396E-1     5.5751054E-6    -6.3214918E-3     3.4596376E-5    -2.4714328E-7
-4.0000000E+0    -4.0000000E+0     4.9604095E-1     1.3418368E-7    -6.2400778E-3     3.9020138E-5    -1.7732691E-6
-4.0000000E+0    -4.0000000E+0     6.6138793E-1     9.2428747E-6    -6.1936857E-3     2.9420248E-5    -3.4784257E-6
-4.0000000E+0    -4.0000000E+0     8.2673491E-1     1.0063005E-5    -5.9856724E-3     2.8572683E-5    -4.6710219E-6
-4.0000000E+0    -4.0000000E+0     9.9208189E-1    -4.5422360E-6    -5.9686360E-3     1.2649470E-5    -3.8714667E-6
-4.0000000E+0    -4.0000000E+0     1.1574289E+0    -6.2870459E-5    -5.7075649E-3     1.1146734E-5     1.1033157E-6
-4.0000000E+0    -4.0000000E+0     1.3227759E+0    -1.8100536E-5    -5.3458426E-3     8.2698862E-6     7.5821900E-6
-4.0000000E+0    -4.0000000E+0     1.4881228E+0    -1.2248965E-4    -5.5322302E-3     2.4224324E-5     9.4688738E-6
-4.0000000E+0    -4.0000000E+0     1.6534698E+0    -2.5735249E-4    -5.5415402E-3    -1.5019823E-5    -1.9369057E-7
-4.0000000E+0    -4.0000000E+0     1.8188168E+0    -4.7915358E-4    -3.2996765E-3    -3.1060121E-5    -1.7158093E-5
-4.0000000E+0    -4.0000000E+0     1.9841638E+0    -4.7496354E-4    -5.2973821E-3    -1.1663717E-5    -3.6927878E-6
-4.0000000E+0    -4.0000000E+0     2.1495108E+0     1.3025270E-4    -5.1205621E-3     1.8993096E-5     1.1356697E-5
-4.0000000E+0    -4.0000000E+0     2.3148577E+0     1.1002596E-4    -2.4945438E-3    -6.4746915E-5     1.1641359E-5
